playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
abnersh01,1966,6,17,USA,OH,Hamilton,,,,,,,Shawn,Abner,Shawn Wesley,190,73,R,R,1987-09-08,1992-10-03,abnes001,abnersh01
abramca01,1924,3,2,USA,PA,Philadelphia,1997,2,25,USA,FL,Fort Lauderdale,Cal,Abrams,Calvin Ross,185,72,L,L,1949-04-19,1956-05-09,abrac101,abramca01
abramge01,1897,11,9,USA,WA,Seattle,1986,12,5,USA,FL,Clearwater,George,Abrams,George Allen,170,69,R,R,1923-04-19,1923-05-04,abrag101,abramge01
abregjo01,1962,7,4,USA,TX,Corpus Christi,,,,,,,Johnny,Abrego,Johnny Ray,185,72,R,R,1985-09-04,1985-10-03,abrej001,abregjo01
abreual01,1995,9,26,D.R.,Monte Cristi,Guayubin,,,,,,,Albert,Abreu,Albert Enmanuel,190,74,R,R,2020-08-08,2021-10-01,abrea001,abreual01
abreubo01,1974,3,11,Venezuela,Aragua,Maracay,,,,,,,Bobby,Abreu,Bob Kelly,220,72,L,R,1996-09-01,2014-09-28,abreb001,abreubo01
abreubr01,1997,4,22,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Bryan,Abreu,Bryan Enrique,225,73,R,R,2019-07-31,2021-08-29,abreb002,abreubr01
abreujo01,1913,5,24,USA,CA,Oakland,1993,3,17,USA,CA,Hayward,Joe,Abreu,Joseph Lawrence,160,68,R,R,1942-04-23,1942-07-11,abrej101,abreujo01
abreujo02,1987,1,29,Cuba,Cienfuegos,Cienfuegos,,,,,,,Jose,Abreu,Jose Dariel,235,75,R,R,2014-03-31,2021-10-02,abrej003,abreujo02
abreuju01,1985,4,8,D.R.,Duarte,San Francisco de Macoris,,,,,,,Juan,Abreu,Juan de Dios,185,72,R,R,2011-08-29,2011-09-27,abrej002,abreuju01
abreuto01,1984,11,13,D.R.,Puerto Plata,Puerto Plata,,,,,,,Tony,Abreu,Etanislao Toni,200,70,B,R,2007-05-22,2014-07-28,abret001,abreuto01
abreuwi01,1977,4,5,D.R.,Sanchez Ramirez,Cotui,,,,,,,Winston,Abreu,Winston Leonardo,170,74,R,R,2006-08-06,2009-07-25,abrew001,abreuwi01
abstebi01,1883,2,2,USA,MO,St. Louis,1940,4,8,USA,MO,St. Louis,Bill,Abstein,William Henry,185,72,R,R,1906-09-25,1910-06-02,abstb101,abstebi01
accarje01,1981,12,18,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195,72,R,R,2005-05-04,2012-09-27,accaj001,accarje01
aceveal01,1982,12,8,Mexico,Sonora,San Luis Rio Colorado,,,,,,,Alfredo,Aceves,Alfredo,205,74,R,R,2008-08-31,2014-06-02,aceva001,aceveal01
acevedo01,1994,3,6,D.R.,Santiago Rodriguez,Villa Los Almacigos,,,,,,,Domingo,Acevedo,Domingo Antonio,240,79,R,R,2021-06-21,2021-10-03,acevd001,acevedo01
acevejo01,1977,12,18,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Jose,Acevedo,Jose Omar,185,72,R,R,2001-06-19,2005-09-29,acevj002,acevejo01
aceveju01,1970,5,5,Mexico,Chihuahua,Ciudad Juarez,,,,,,,Juan,Acevedo,Juan Carlos,245,74,R,R,1995-04-30,2003-08-05,acevj001,aceveju01
achteaj01,1988,8,27,USA,OH,Toledo,,,,,,,A. J.,Achter,Adam Joseph,215,77,R,R,2014-09-03,2016-10-01,achta001,achteaj01
ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01
ackerto01,1930,3,7,USA,NJ,Paterson,2021,1,4,USA,PA,Narvon,Tom,Acker,Thomas James,215,76,R,R,1956-04-20,1959-09-20,acket101,ackerto01
ackledu01,1988,2,26,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205,73,L,R,2011-06-17,2016-05-29,ackld001,ackledu01
acklefr01,1937,4,10,USA,WI,Hayward,2002,5,22,USA,MN,Duluth,Fritz,Ackley,Florian Frederick,202,73,L,R,1963-09-21,1964-05-09,acklf101,acklefr01
acostcy01,1946,11,22,Mexico,Sinaloa,El Sabino,,,,,,,Cy,Acosta,Cecilio,165,70,R,R,1972-06-04,1975-05-05,acosc101,acostcy01
acosted01,1944,3,9,Panama,Chiriqui,Boquete,,,,,,,Ed,Acosta,Eduardo Elixbet,215,77,B,R,1970-09-07,1972-10-04,acose101,acosted01
acostjo01,1891,3,4,Cuba,La Habana,La Habana,1977,11,16,Cuba,La Habana,La Habana,Jose,Acosta,Jose,134,66,R,R,1920-07-28,1922-05-12,acosj101,acostjo01
acostma01,1981,5,1,Panama,Colon,Colon,,,,,,,Manny,Acosta,Manuel Alcides,215,76,R,R,2007-08-12,2012-10-03,acosm001,acostma01
acostme01,1896,5,19,Cuba,Artemisa,Bauta,1963,11,17,USA,FL,Miami,Merito,Acosta,Baldomero Pedro,140,67,L,L,1913-06-05,1918-09-02,acosm101,acostme01
acrema01,1968,9,16,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235,80,R,R,1994-05-13,1997-05-10,acrem001,acrema01
actama99,1969,1,11,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Acta,Manuel Elias,172,74,R,R,,,actam801,actama99
acunaro01,1997,12,18,Venezuela,La Guaira,La Guaira,,,,,,,Ronald,Acuna,Ronald Jose,205,72,R,R,2018-04-25,2021-07-10,acunr001,acunaro01
adairbi99,1913,2,10,USA,AL,Mobile,2002,6,17,USA,AL,Bay Minette,Bill,Adair,Marion Danne,168,72,R,R,,,adaib801,adairbi99
adairje01,1936,12,17,USA,OK,Sand Springs,1987,5,31,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175,72,R,R,1958-09-02,1970-05-03,adaij101,adairje01
adairji01,1907,1,25,USA,TX,Waxahachie,1982,12,9,USA,TX,Farmers Branch,Jimmy,Adair,James Aubrey,154,70,R,R,1931-08-24,1931-09-07,adaij102,adairji01
adamecr01,1991,7,26,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Cristhian,Adames,Cristhian Pascual,217,71,B,R,2014-07-29,2019-09-29,adamc001,adamecr01
adamewi01,1995,9,2,D.R.,Santiago,Santiago,,,,,,,Willy,Adames,Willy Rafael,210,72,R,R,2018-05-22,2021-10-03,adamw002,adamewi01
adamja01,1991,8,4,USA,NE,Omaha,,,,,,,Jason,Adam,Jason Kendall,229,75,R,R,2018-05-05,2021-10-02,adamj002,adamja01
adamsac01,1910,3,2,USA,CA,Willows,2006,2,26,USA,GA,Albany,Ace,Adams,Ace Townsend,182,70,R,R,1941-04-15,1946-04-24,adama101,adamsac01
adamsau01,1986,8,19,USA,AL,Montgomery,,,,,,,Austin,Adams,Austin David,205,71,R,R,2014-07-12,2019-07-06,adama001,adamsau01
adamsau02,1991,5,5,USA,FL,Tampa,,,,,,,Austin,Adams,Austin Lance,220,75,R,R,2017-07-15,2021-09-30,adama002,adamsau02
adamsba01,1882,5,18,USA,IN,Tipton,1968,7,27,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185,71,L,R,1906-04-18,1926-08-11,adamb104,adamsba01
adamsbe01,1891,6,21,USA,TX,Wharton,1940,6,24,USA,CA,Los Angeles,Bert,Adams,John Bertram,185,73,B,R,1910-08-30,1919-09-28,adamb106,adamsbe01
adamsbo01,1901,7,24,USA,MA,Holyoke,1996,10,17,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168,71,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01
adamsbo02,1907,1,20,USA,AL,Birmingham,1970,3,6,USA,FL,Jacksonville,Bob,Adams,Robert Andrew,165,72,R,R,1931-09-27,1932-09-17,adamb102,adamsbo02
adamsbo03,1921,12,14,USA,CA,Tuolumne,1997,2,13,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160,70,R,R,1946-04-16,1959-04-22,adamb103,adamsbo03
adamsbo04,1952,1,6,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200,74,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04
adamsbu01,1915,6,24,USA,CO,Trinidad,1990,9,1,USA,CA,Rancho Mirage,Buster,Adams,Elvin Clark,180,72,R,R,1939-04-27,1947-09-21,adamb101,adamsbu01
adamsch01,1994,8,10,USA,AZ,Scottsdale,,,,,,,Chance,Adams,Chance,215,73,R,R,2018-08-04,2020-09-22,adamc002,adamsch01
adamsda01,1887,6,19,USA,MO,St. Louis,1964,10,6,USA,MO,St. Louis,Dan,Adams,Daniel Leslie,165,71,R,R,1914-05-22,1915-09-26,adamd103,adamsda01
adamsda02,1987,5,15,USA,FL,Margate,,,,,,,David,Adams,David Lee,205,74,R,R,2013-05-15,2013-09-29,adamd001,adamsda02
adamsdi01,1920,4,8,USA,CA,Tuolumne,2016,9,14,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185,72,R,L,1947-05-20,1947-09-28,adamd102,adamsdi01
adamsdo01,1943,1,27,USA,WI,Blue River,,,,,,,Doug,Adams,Harold Douglas,185,75,L,R,1969-09-08,1969-10-01,adamd101,adamsdo01
adamsge01,1855,1,25,USA,MA,Worcester,1920,10,11,USA,WA,Clarkston,George,Adams,George Henry,175,66,R,R,1879-06-14,1879-06-21,adamg102,adamsge01
adamsgl01,1947,10,4,USA,MA,Northbridge,,,,,,,Glenn,Adams,Glenn Charles,180,73,L,R,1975-05-04,1982-10-03,adamg101,adamsgl01
adamshe01,1928,4,14,USA,CA,Hollywood,2012,2,1,USA,OK,Tulsa,Herb,Adams,Herbert Loren,160,69,L,L,1948-09-17,1950-08-30,adamh101,adamshe01
adamsji01,1868,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,James J.,148,66,,R,1890-04-21,1890-04-21,adamj101,adamsji01
adamsjo01,1877,10,28,USA,IL,Cowden,1952,10,8,USA,MO,Bachelor,Joe,Adams,Joseph Edward,190,72,R,L,1902-04-26,1902-04-26,adamj102,adamsjo01
adamsjo02,1971,7,2,USA,CA,Lakewood,,,,,,,Joel,Adamson,Joel Lee,185,76,L,L,1996-04-10,1998-04-26,adamj001,adamsjo02
adamska01,1891,8,11,USA,GA,Columbus,1967,9,17,USA,WA,Everett,Karl,Adams,Karl Tutwiler,170,74,R,R,1914-04-19,1915-09-23,adamk101,adamska01
adamsla01,1989,11,13,USA,OK,Talihina,,,,,,,Lane,Adams,Lane Weston,190,76,R,R,2014-09-01,2018-09-30,adaml001,adamsla01
adamsma01,1988,8,31,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,245,75,L,R,2012-05-20,2021-07-24,adamm002,adamsma01
adamsmi01,1947,9,13,USA,CA,San Diego,,,,,,,Mike,Adamson,John Michael,185,74,R,R,1967-07-01,1969-05-07,adamm101,adamsmi01
adamsmi02,1948,7,24,USA,OH,Cincinnati,,,,,,,Mike,Adams,Robert Michael,180,69,R,R,1972-09-10,1978-07-25,adamm102,adamsmi02
adamsmi03,1978,7,29,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210,77,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03
adamsre01,1921,10,7,USA,CA,Parlier,2017,1,18,USA,CA,Fresno,Red,Adams,Charles Dwight,185,72,R,R,1946-05-05,1946-07-02,adamr101,adamsre01
adamsri01,1878,12,24,USA,TX,Paris,1955,3,10,USA,TX,Paris,Rick,Adams,Reuben Alexander,165,72,L,L,1905-07-13,1905-09-29,adamr102,adamsri01
adamsri02,1959,1,21,USA,CA,Upland,2011,10,28,USA,CA,Rancho Cucamonga,Ricky,Adams,Ricky Lee,180,74,R,R,1982-09-15,1985-10-05,adamr001,adamsri02
adamsri03,1996,6,26,USA,CA,Encinitas,,,,,,,Riley,Adams,Riley Keaton,246,76,R,R,2021-06-08,2021-10-03,adamr004,adamsri03
adamsru01,1980,8,30,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205,72,L,R,2004-09-03,2009-06-30,adamr002,adamsru01
adamsry01,1987,4,21,USA,LA,New Orleans,,,,,,,Ryan,Adams,Ryan Scott,185,71,R,R,2011-05-20,2011-09-19,adamr003,adamsry01
adamssp01,1894,8,26,USA,PA,Zerbe,1989,2,24,USA,PA,Pottsville,Sparky,Adams,Earl John,151,65,R,R,1922-09-18,1934-09-30,adams101,adamssp01
adamssp02,1898,6,21,USA,UT,Layton,1970,11,24,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158,69,L,R,1923-04-22,1927-10-02,adams102,adamssp02
adamste01,1973,3,6,USA,AL,Mobile,,,,,,,Terry,Adams,Terry Wayne,180,75,R,R,1995-08-10,2005-05-23,adamt001,adamste01
adamswi01,1890,9,27,USA,PA,Clearfield,1937,6,18,USA,NY,Albany,Willie,Adams,James Irvin,180,76,R,R,1912-06-30,1919-09-06,adamw101,adamswi01
adamswi02,1972,10,8,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215,79,R,R,1996-06-11,1997-08-14,adamw001,adamswi02
adcocjo01,1927,10,30,USA,LA,Coushatta,1999,5,3,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210,76,R,R,1950-04-23,1966-10-01,adcoj101,adcocjo01
adcocna01,1988,2,25,USA,KY,Elizabethtown,,,,,,,Nathan,Adcock,Nathan Masler,235,76,R,R,2011-03-31,2015-07-26,adcon001,adcocna01
addisbo01,1925,11,6,USA,OH,Mineral,2016,11,15,USA,OH,Mentor,Bob,Addis,Robert Gordon,175,72,L,R,1950-09-01,1953-06-12,addib101,addisbo01
adducji01,1959,8,9,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200,77,L,L,1983-09-12,1989-07-26,adduj001,adducji01
adducji02,1985,5,15,CAN,BC,Burnaby,,,,,,,Jim,Adduci,Jim Charles,210,74,L,L,2013-09-01,2019-06-01,adduj002,adducji02
addybo01,1842,2,,CAN,ON,Port Hope,1910,4,9,USA,ID,Pocatello,Bob,Addy,Robert Edward,160,68,L,L,1871-05-06,1877-10-06,addyb101,addybo01
adelljo01,1999,4,8,USA,NC,Shelby,,,,,,,Jo,Adell,Jordon Scott,215,75,R,R,2020-08-04,2021-09-11,adelj001,adelljo01
adenhni01,1986,8,24,USA,MD,Silver Spring,2009,4,9,USA,CA,Orange,Nick,Adenhart,Nicholas James,185,75,R,R,2008-05-01,2009-04-08,adenn001,adenhni01
aderhmo01,1915,9,13,USA,NC,Mount Olive,1955,3,18,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188,73,L,R,1939-09-13,1945-09-30,aderm101,aderhmo01
adkinde01,1918,5,11,USA,KS,Norcatur,1998,12,26,USA,CA,Santa Monica,Dewey,Adkins,John Dewey,195,74,R,R,1942-09-19,1949-10-02,adkid103,adkinde01
adkindi01,1920,3,3,USA,TX,Electra,1955,9,12,USA,TX,Electra,Dick,Adkins,Richard Earl,165,70,R,R,1942-09-19,1942-09-20,adkid101,adkindi01
adkindo01,1872,8,5,USA,WI,Troy,1934,2,21,USA,NC,Durham,Doc,Adkins,Merle Theron,220,70,R,R,1902-06-24,1903-09-29,adkid102,adkindo01
adkingr01,1897,6,29,USA,AR,Jacksonville,1966,3,31,USA,AR,Little Rock,Grady,Adkins,Grady Emmett,175,71,R,R,1928-04-13,1929-10-05,adkig101,adkingr01
adkinhe01,1874,1,19,USA,MO,Fulton,1953,1,2,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01
adkinjo01,1977,8,30,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200,72,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01
adkinst01,1964,10,26,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210,78,R,L,1990-09-12,1990-10-03,adkis001,adkinst01
adlemti01,1987,11,13,USA,NY,Staten Island,,,,,,,Tim,Adleman,Timothy Max,225,77,R,R,2016-05-01,2017-09-19,adlet001,adlemti01
adlesda01,1943,7,15,USA,CA,Long Beach,2016,2,15,USA,CA,Long Beach,Dave,Adlesh,David George,187,72,R,R,1963-05-12,1968-09-28,adled101,adlesda01
adonjo01,1998,8,12,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Joan,Adon,Joan Manuel,242,74,R,R,2021-10-03,2021-10-03,adonj001,adonjo01
adriaeh01,1989,8,21,Venezuela,Miranda,Guarenas,,,,,,,Ehire,Adrianza,Ehire Enrique,195,73,B,R,2013-09-08,2021-10-03,adrie001,adriaeh01
afenitr01,1963,9,21,USA,CA,Escondido,,,,,,,Troy,Afenir,Michael Troy,185,76,R,R,1987-09-14,1992-07-10,afent001,afenitr01
affelje01,1979,6,6,USA,AZ,Phoenix,,,,,,,Jeremy,Affeldt,Jeremy David,225,76,L,L,2002-04-06,2015-10-04,affej001,affelje01
agbaybe01,1971,12,28,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225,72,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01
ageeto01,1942,8,9,USA,AL,Magnolia,2001,1,22,USA,NY,New York,Tommie,Agee,Tommie Lee,195,71,R,R,1962-09-14,1973-09-30,ageet101,ageeto01
agganha01,1929,4,20,USA,MA,Lynn,1955,6,27,USA,MA,Cambridge,Harry,Agganis,Harry,200,74,L,L,1954-04-13,1955-06-02,aggah101,agganha01
aglerjo01,1887,6,12,USA,OH,Coshocton,1971,4,26,USA,OH,Massillon,Joe,Agler,Joseph Abram,165,71,L,L,1912-10-01,1915-10-02,aglej101,aglerjo01
agnewsa01,1887,4,12,USA,MO,Farmington,1951,7,19,USA,CA,Sonoma,Sam,Agnew,Samuel Lester,185,71,R,R,1913-04-10,1919-09-28,agnes101,agnewsa01
agostju01,1958,2,23,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,Juan Roberto,190,74,L,L,1981-09-07,1993-06-19,agosj001,agostju01
agrazda01,1994,12,28,Panama,Cocle,Aguadulce,,,,,,,Dario,Agrazal,Dario Abdiel,225,74,R,R,2019-06-15,2019-09-25,agrad001,agrazda01
aguaylu01,1959,3,13,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,Luis,173,69,R,R,1980-04-19,1989-09-30,agual001,aguaylu01
aguilch01,1979,2,23,USA,CA,Redwood City,,,,,,,Chris,Aguila,Christopher Louis,200,71,R,R,2004-06-28,2008-07-10,aguic001,aguilch01
aguilje01,1990,6,30,Venezuela,Aragua,Maracay,,,,,,,Jesus,Aguilar,Jesus Alexander,277,75,R,R,2014-05-15,2021-09-05,aguij001,aguilje01
aguilmi01,1991,9,26,Mexico,Sonora,Ciudad Obregon,,,,,,,Miguel,Aguilar,Miguel Armando,194,68,L,L,2021-07-30,2021-09-12,aguim001,aguilmi01
aguilri01,1961,12,31,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195,76,R,R,1985-06-12,2000-09-06,aguir001,aguilri01
aguirha01,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,Henry John,205,76,R,L,1955-09-10,1970-06-24,aguih101,aguirha01
ahearch01,1858,,,USA,NY,Troy,1919,4,28,USA,NY,Troy,Bill,Ahearn,William H.,,,,,1880-06-19,1880-06-19,aheac101,ahearch01
ahearpa01,1969,12,10,USA,CA,San Francisco,,,,,,,Pat,Ahearne,Patrick Howard,195,75,R,R,1995-06-14,1995-06-30,aheap001,ahearpa01
ahmedni01,1990,3,15,USA,MA,East Longmeadow,,,,,,,Nick,Ahmed,Nicholas Mark,201,74,R,R,2014-06-29,2021-09-17,ahmen001,ahmedni01
aikenwi01,1954,10,14,USA,SC,Seneca,,,,,,,Willie,Aikens,Willie Mays,220,75,L,R,1977-05-17,1985-04-27,aikew001,aikenwi01
aingeda01,1959,3,17,USA,OR,Eugene,,,,,,,Danny,Ainge,Daniel Ray,175,76,R,R,1979-05-21,1981-09-22,aingd101,aingeda01
ainsmed01,1890,2,4,Russia,,,1981,9,6,USA,FL,Fort Lauderdale,Eddie,Ainsmith,Edward Wilbur,180,71,R,R,1910-08-09,1924-07-21,ainse101,ainsmed01
ainswku01,1978,9,9,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192,75,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01
aitchra01,1887,12,5,USA,SD,Tyndall,1958,9,26,USA,KS,Columbus,Raleigh,Aitchison,Raleigh Leonidas,175,71,R,L,1911-04-19,1915-06-20,aitcr101,aitchra01
aitonge01,1890,12,29,USA,KS,Kingman,1976,8,16,USA,CA,North Hollywood,George,Aiton,George Wilson,175,71,B,R,1912-06-29,1912-07-28,aitog101,aitonge01
akejo01,1861,8,29,USA,PA,Altoona,1887,5,11,USA,WI,La Crosse,John,Ake,John Leckie,180,73,R,R,1884-05-12,1884-07-15,ake-j101,akejo01
akerfda01,1962,6,12,USA,CO,Denver,2012,6,24,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210,74,R,R,1986-08-01,1991-07-02,akerd001,akerfda01
akerja01,1940,7,13,USA,CA,Tulare,,,,,,,Jack,Aker,Jackie Delane,190,74,R,R,1964-05-03,1974-09-27,akerj102,akerja01
akersbi01,1904,12,25,USA,TN,Chattanooga,1962,4,13,USA,TN,Chattanooga,Bill,Akers,William G.,178,71,R,R,1929-09-08,1932-07-27,akerb101,akersbi01
akersje01,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,Albert Earl,175,71,R,R,1912-05-04,1912-05-25,akerj101,akersje01
akinke01,1995,4,1,USA,MI,Alma,,,,,,,Keegan,Akin,Keegan Lee,235,71,L,L,2020-08-14,2021-09-22,akink001,akinke01
akiyash01,1988,4,16,Japan,Kanagawa,Yokosuka,,,,,,,Shogo,Akiyama,Shogo,182,72,L,R,2020-07-24,2021-09-16,akiys001,akiyash01
alanirj01,1991,6,14,USA,TX,McAllen,,,,,,,R. J.,Alaniz,Ruben,220,76,R,R,2019-04-12,2021-07-23,alanr001,alanirj01
albagi01,1960,1,18,D.R.,Santiago,Santiago,,,,,,,Gibson,Alba,Gibson Alberto,160,74,L,L,1988-05-03,1988-05-08,albag001,albagi01
